Sort,Successful,Title,CampaignStory
0.13489463407804,0,Help Mazno's fight against lymphoma cancer,"Help Mazno in his fight against lymphoma cancer Mazno, a Bangladeshi worker who has been diagnosed with Stage IV Burkitt's Lymphoma at the start of April 2020 in Ng Teng Fong Gener..."
0.136954807424814,0,Run for Funds,"Two years ago, I did my first fund-raising run to raise funds for a school building project. Many generous friends contributed a total of $7,025 towards the building cost. The pres..."
0.137495931304751,0,Help Patrice Fight Sarcoma,"Patrice is like any 12 years old girl, living a simple life in Surabaya, attending school and her CCA, until her leg felt pain a year ago, which she still goes to school, but stop ..."
0.137880572216299,0,Premature twins NUHAD and NURAZ need your help,"My name is Mostaque, and together with my wife, I have been in Malaysia for the last 6 years studying for my BBA and now for my MBA. Since I’m considered a student in Malaysia, I c..."
0.141129162188414,0,Singapore Junior Indoor Cricketers need your support!,"After months of trials & selection by SCA (Singapore Cricket Association) and intense preparation, which included a recent participation in the Australian National Junior Champions..."
0.141288386454281,0,Please help a 2 years kid to fight against Cancer,"Dear Friends and Well-wishers, I am writing this appeal letter on behalf of my son, Muhaiminul Haque, who has been diagnosed with a rare type of Kidney Cancer namely Wilms' Tumour...."
0.14306044308126,0,Help Elderly widow operating cow farm for family from abusive man,I am doing this for a poor family in Thailand (Saraburi). My friend whom her mother is an elderly widow has been operating a simple cow farm with only a few cows to make ends need ...
0.149932784978967,0,Raise fund for school destroyed by Typhoon in Philipines,"Hi, I am Thagarajan Seenivasagam, I am Singaporean working with the Urban Redevelopment Authority for the past 16 years. Married with one daughter.My age 67 this year. I am also th..."
0.151039165707721,0,Typhoon Relief for Bagong Silangan/General Nakar Community,"A Call for Typhoon Relief Aid As the Philippines and many other countries of Southeast Asia continue to battle typhoons and storms over the past couple of weeks, vulnerable communi..."
0.151298795953711,0,FUND RAISING Music China Expo Oct 2018,"From year 2009 to 2014, I have began a transition journey that I have least expected; becoming a Guitar Maker. Browsing through social media, I saw Master Luthier's Jeffrey Yong ht..."
0.154487044627347,0,Donation Drive for the family of two Chinese migrant workers' died from Covid-19,"?????????????51??????5?31???????????6?4????????????????41??????????????????25???????????????????
2020-06-23????????????????????????????????

???????????????????????????????????????..."
0.155952630613303,0,Help My Premature Baby Arishan,"Help our son, Baby Arishan and bring him home My name is Ayilan Nalliah. I am a Sri Lankan citizen who has been living and working in Singapore since 2012. My wife, Subathra, is fr..."
0.156589095732669,0,Please help our domestic helper Jovelyn to fight against cancer,"We are raising funds for our domestic helper Jovelyn who was diagnosed last month with an aggressive stage 3 Lymphoma, a cancer of white blood cells. She has been with us for 5 yea..."
0.159344585228004,0,Help Karen's Father To Go Home,"Karen been working in Singapore since 2007, starting from being a domestic helper till she got married last year to a Singaporean, she found love, and she feels happy to settle dow..."
0.160739246499415,0,Help Ahmad (4) Get Heart Surgery,"Ahmad is suffering from heart disease and is also abandoned by his parents. Ahmad's mother left him in an empty house when he was just a newborn baby. At that time, Ahmad's mother ..."
0.161237694140521,0,"I love you, mum!","Voices of our heroes of the handcrafted flowers. Handicraft flowers at the Charity - MINDS, METTA, AWWA  We are planning the 10th Mother’s Day event now. We are donating to MINDS, ..."
0.162602529070851,0,Black Sheep & Tabitha 2020,"The Black Sheep Every year BBH Singapore like to do something different, do some good, and help some people. Once again the Black Sheep have linked up with the Tabitha Foundation, ..."
